2019-08-14 22:52:48 1565819568 18.2 22.6 24.8 24.8 centre-node
19 20 21 22 22 21 20 18 
21 22 22 23 23 22 22 20 
21 21 22 24 24 22 22 22 
20 20 21 24 24 23 23 22 
22 21 20 22 24 24 23 22 
24 22 22 24 24 24 23 23 
24 25 24 25 25 24 23 23 
24 25 24 25 25 23 24 22 


24 24 24 22 20 21 21 19 
25 25 22 21 20 21 22 20 
24 24 22 20 21 22 22 21 
25 25 24 22 24 24 23 22 
25 25 24 24 24 24 23 22 
23 24 24 24 23 22 22 21 
24 23 23 23 23 22 22 20 
22 23 23 22 22 22 20 18 

diff
 1  2  3  4  4  3  1  0
 3  3  4  4  4  4  4  2
 3  3  3  6  6  4  4  4
 2  2  3  6  6  5  5  4
 4  2  2  4  6  6  5  4
 6  4  4  6  6  6  5  5
 6  6  6  6  6  6  5  5
 6  6  6  6  6  5  5  4

 6  6  6  4  2  3  3  1
 6  6  4  2  2  3  3  2
 6  6  4  2  3  3  4  3
 6  6  6  4  6  6  4  4
 6  6  6  6  6  6  4  4
 5  6  6  6  5  4  4  3
 5  5  5  5  5  4  4  1
 4  5  5  4  4  4  2  0
