TAG=human-prone-face-down
TS=2019-08-18-12:31:50
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=31
BACKGROUND_TEMP=17.5

2019-08-18 12:31:52 1566127913 13.0 13.9 17.5 18.8 centre-node
14 14 14 14 14 14 14 14 
14 14 14 14 14 14 13 13 
14 14 14 14 14 14 14 13 
14 15 15 16 16 14 14 14 
16 19 19 18 18 14 14 14 
16 15 15 14 15 14 14 14 
15 14 14 14 14 14 14 14 
14 14 14 14 13 14 14 13 


diff
 1  1  1  1  0  0  1  0
 1  1  1  1  0  1  0  0
 1  1  1  1  1  1  1  0
 1  2  2  3  3  1  1  0
 3  6  6  5  5  1  0  1
 2  2  2  2  2  1  1  1
 2  1  1  2  0  1  0  0
 1  0  2  0  0  0  1  0
