TAG=human-prone-faceup
TS=2019-08-18-12:27:40
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=32.5
BACKGROUND_TEMP=17.5

2019-08-18 12:27:42 1566127663 12.5 14.0 17.7 18.8 centre-node
14 14 14 14 13 14 13 14 
14 14 14 14 14 14 13 12 
15 14 14 14 14 14 14 14 
17 17 18 19 16 14 14 14 
16 18 18 18 16 14 14 14 
15 14 14 14 14 14 14 14 
15 14 14 14 14 14 13 14 
14 15 14 14 14 14 14 14 


diff
 2  1  2  1  1  1  0  1
 1  2  1  2  1  1  1  0
 2  1  2  2  2  1  1  2
 4  4  6  6  4  2  1  1
 4  5  6  5  3  1  1  2
 2  2  2  2  2  1  2  1
 2  2  2  2  1  2  0  1
 1  2  1  2  2  2  2  1
