TAG=human-prone-side
TS=2019-08-18-12:34:55
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=31
BACKGROUND_TEMP=17.5

2019-08-18 12:34:58 1566128098 13.8 14.8 18.4 19.5 centre-node
15 14 15 15 14 14 14 14 
14 15 14 15 14 14 14 14 
15 14 15 14 15 14 14 14 
16 16 17 16 15 14 14 14 
18 19 20 18 19 14 14 14 
15 16 15 17 16 15 14 15 
16 14 15 16 15 14 14 14 
15 14 15 15 14 15 15 14 


diff
 1  0  1  1  0  1  1  0
 0  1  1  1  0  0  0  0
 2  1  1  1  1  0  0  0
 2  2  3  2  2  0  1  0
 4  5  6  5  5  1  0  0
 1  2  1  3  2  1  1  1
 2  1  2  2  1  1  1  1
 1  1  2  1  0  1  1  1
