TAG=human-seated
TS=2019-08-18-12:39:58
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=24
BACKGROUND_TEMP=17.5

2019-08-18 12:40:00 1566128401 14.2 15.2 19.9 21.8 centre-node
15 15 15 15 16 14 15 15 
15 15 16 15 15 15 15 15 
15 16 16 16 16 15 15 15 
16 16 17 19 20 15 15 15 
15 16 18 22 20 17 15 16 
15 16 17 20 20 16 16 14 
16 15 16 16 16 15 15 16 
15 16 16 16 15 15 15 15 


diff
 1  1  0  1  1  0  1  0
 0  1  1  1  1  1  1  0
 1  1  2  2  2  1  1  0
 1  2  3  5  5  1  1  0
 1  1  4  8  6  2  1  2
 1  1  2  6  6  2  1  0
 2  1  1  2  2  0  1  2
 1  2  1  2  1  1  0  1
