TAG=human-standing-white-head
TS=2019-08-18-12:52:15
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=24
BACKGROUND_TEMP=17.5

2019-08-18 12:52:18 1566129139 14.5 15.5 18.8 21.8 centre-node
16 15 16 16 16 16 15 16 
15 16 16 16 16 16 15 14 
15 15 17 17 16 16 15 14 
16 16 19 20 16 15 15 15 
16 17 22 19 16 16 15 15 
15 16 18 18 16 16 15 15 
16 15 16 16 16 15 15 15 
15 16 16 16 15 15 15 15 


diff
 1  1  1  1  1  1  0  1
 1  2  1  2  1  1  0  0
 1  1  2  2  2  1  0  0
 1  2  4  5  1  0  0  1
 1  3  7  4  2  1  0  1
 1  2  3  4  1  1  1  0
 1  0  2  2  1  1  1  1
 0  2  1  1  0  0  1  0
