TAG=human-standing
TS=2019-08-18-12:44:18
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=24
BACKGROUND_TEMP=17.5

2019-08-18 12:44:21 1566128661 14.8 15.6 18.4 20.8 centre-node
15 15 16 16 16 16 15 16 
16 15 16 16 16 16 15 15 
15 15 16 16 20 16 16 15 
16 16 16 18 21 18 16 15 
15 15 16 17 20 18 16 15 
15 16 16 16 17 16 16 16 
16 15 16 16 16 16 16 15 
15 16 15 16 15 16 16 15 


diff
 0  0  1  1  1  1  0  1
 1  0  1  1  1  1  0  0
 0  0  2  2  6  2  1  0
 1  1  2  4  6  3  1  0
 0  0  1  2  6  3  1  0
 0  1  1  2  2  1  1  1
 1  0  1  1  1  1  1  0
 0  1  0  2  0  1  1  0
