TAG=img-proc-human-target-poc
TS=2019-08-16-14:11:24
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=
BACKGROUND_TEMP=18.2

2019-08-16 14:11:30 1565961090 16.2 17.0 23.2 25.5 centre-node
18 18 17 17 17 17 17 16 
19 19 17 17 16 17 17 16 
25 23 20 17 17 23 18 17 
26 23 20 17 17 18 17 16 
22 22 20 17 17 16 16 17 
18 18 18 17 17 17 16 17 
17 17 17 16 16 16 16 17 
17 17 17 17 16 16 16 17 


diff
 1  1  1  0  0  1  0  0
 2  3  1  1  0  1  1  0
 9  7  4  1  1  7  2  1
 9  7  4  1  1  2  1  0
 5  6  4  1  0  0  0  0
 2  2  2  0  0  0  0  0
 1  0  1  0  0  0  0  0
 1  1  1  0  0  0  0  0
